"created_at","screen_name","text","name","location","is_retweet","date"
2020-03-07 15:18:26,"BarackObama","55 years ago, when a group of civil rights organizers crossed the Edmund Pettus Bridge, they carried America with them. Today, let's honor that legacy by continuing their work to protect and exercise our foundational right to vote. https://t.co/zhMeTA3kFj","Barack Obama","Washington, DC",FALSE,2020-03-07
2020-03-04 16:52:19,"BarackObama","Protect yourself and your community from coronavirus with common sense precautions: wash your hands, stay home when sick and listen to the @CDCgov and local health authorities. Save the masks for health care workers. Let’s stay calm, listen to the experts, and follow the science.","Barack Obama","Washington, DC",FALSE,2020-03-04
2020-03-03 21:34:30,"BarackObama","Michelle and I are sending our prayers to those affected by the severe storms in Tennessee, especially to those who lost loved ones. Our hearts are with you and the first responders working so diligently to protect the vibrant communities of Nashville.","Barack Obama","Washington, DC",FALSE,2020-03-03
2020-02-28 15:49:05,"BarackObama","America needs you as states prepare for the next round of redistricting. It's up to all of us to make sure we have a fair democracy. Join me in the fight for fair maps.
  
Join me and @allontheline today: https://t.co/bTF7myfK5s","Barack Obama","Washington, DC",FALSE,2020-02-28
2020-02-28 15:48:25,"BarackObama","Shirley Chisholm said ""You don't make progress by standing on the sidelines, whimpering and complaining. You make progress by implementing ideas.""
  
All across this country, right now, people are coming together to create extraordinary change. https://t.co/YTTfJYrYXW","Barack Obama","Washington, DC",FALSE,2020-02-28
2020-02-24 21:57:19,"BarackObama","After a lifetime of reaching for the stars, today, Katherine Johnson landed among them. She spent decades as a hidden figure, breaking barriers behind the scenes. But by the end of her life, she had become a hero to millions—including Michelle and me. https://t.co/isG29nwBiB","Barack Obama","Washington, DC",FALSE,2020-02-24
2020-02-21 15:34:33,"BarackObama","Happy birthday to one of my heroes — someone who believed our right to vote was more important than his own life. Thanks for making good trouble for 80 years, @repjohnlewis. https://t.co/LqMuvmpbLp","Barack Obama","Washington, DC",FALSE,2020-02-21
2020-02-19 00:51:40,"BarackObama","https://t.co/AQJsfBf0ri","Barack Obama","Washington, DC",FALSE,2020-02-19
2020-02-19 00:51:21,"BarackObama","Here are a couple of articles that are worth reading — from housing to health, these stories use data to explore challenges we face and demonstrate how policy solutions along with civic engagement can make a real difference in people’s lives.
https://t.co/G6EIUwuMqV","Barack Obama","Washington, DC",FALSE,2020-02-19
2020-02-17 15:46:53,"BarackObama","Eleven years ago today, near the bottom of the worst recession in generations, I signed the Recovery Act, paving the way for more than a decade of economic growth and the longest streak of job creation in American history. https://t.co/BmdXrxUAUf","Barack Obama","Washington, DC",FALSE,2020-02-17
2020-02-14 17:40:29,"BarackObama","Happy Valentine’s Day to my forever dance partner, @MichelleObama. https://t.co/lHvTGUwEHr","Barack Obama","Washington, DC",FALSE,2020-02-14
2020-02-13 15:31:32,"BarackObama","What a great example of citizenship, what each of us can do to make a difference for all of us: https://t.co/YxsvONUuVl","Barack Obama","Washington, DC",FALSE,2020-02-13
2020-02-11 21:05:32,"BarackObama","Even if the methods are new, sowing the seeds of doubt, division, and discord to turn Americans against each other is an old trick. The antidote is citizenship: to get engaged, organized, mobilized, and to vote - on every level, in every election. https://t.co/yOvaCZYtrW","Barack Obama","Washington, DC",FALSE,2020-02-11
2020-02-11 18:09:29,"BarackObama","Thirty years on, I remember the hope we all felt watching Mandela’s release from prison. The gift of a new way of seeing. The chance to participate in the work of building a better world. The ultimate example of perseverance and faith for each new generation to follow.","Barack Obama","Washington, DC",FALSE,2020-02-11
2020-02-10 02:38:19,"BarackObama","Congrats to Julia and Steven, the filmmakers behind American Factory, for telling such a complex, moving story about the very human consequences of wrenching economic change. Glad to see two talented and downright good people take home the Oscar for Higher Ground’s first release. https://t.co/W4AZ68iWoY","Barack Obama","Washington, DC",FALSE,2020-02-10
2020-02-01 20:36:40,"BarackObama","Sixty years ago today, the Greensboro Four stood up to injustice by sitting down at a lunch counter. Our journey is full of such stories; of acts of patriotic protest that challenge this country we love to live up to our highest ideals, however long it takes. #BlackHistoryMonth","Barack Obama","Washington, DC",FALSE,2020-02-01
2020-01-26 21:56:16,"BarackObama","Kobe was a legend on the court and just getting started in what would have been just as meaningful a second act. To lose Gianna is even more heartbreaking to us as parents. Michelle and I send love and prayers to Vanessa and the entire Bryant family on an unthinkable day.","Barack Obama","Washington, DC",FALSE,2020-01-26
2020-01-20 14:35:29,"BarackObama","Every so often, I re-read Dr. King’s Letter from a Birmingham Jail. While some of the injustices may have changed, his poetic brilliance, moral clarity, and tests of conscience still reverberate today. Take a moment to reflect on his righteous call: https://t.co/oBdqFqdWA6","Barack Obama","Washington, DC",FALSE,2020-01-20
2020-01-17 14:13:19,"BarackObama","In every scene, you are my star, @MichelleObama! Happy birthday, baby! https://t.co/hgMBhHasBj","Barack Obama","Washington, DC",FALSE,2020-01-17
2020-01-13 14:13:44,"BarackObama","Glad to see American Factory’s Oscar nod for Best Documentary. It’s the kind of story we don’t see often enough and it’s exactly what Michelle and I hope to achieve with Higher Ground. Congrats to the incredible filmmakers and entire team!","Barack Obama","Washington, DC",FALSE,2020-01-13
2020-01-12 18:35:50,"BarackObama","Our fellow Americans in Puerto Rico can use our support after this week’s earthquakes. They’ve shown their enduring spirit over the past couple years, and it’s up to us to pull together for one another once again. I hope you’ll support their recovery: https://t.co/rYhSb8uVXK","Barack Obama","Washington, DC",FALSE,2020-01-12
2020-01-09 21:01:14,"BarackObama","Here’s the thing: Even with problems of this magnitude, each of us can still find a way to make change. That’s why I’m proud of young people like Alice Mahar, a environmental activist in Melbourne. Read about her and find ways you can help, too: https://t.co/qAHFiBgw6b","Barack Obama","Washington, DC",FALSE,2020-01-09
2020-01-09 21:00:08,"BarackObama","The catastrophic fires in Australia are the latest example of the very real and very urgent consequences of climate change. It’s on us to stay focused and protect the one planet we’ve got for the next generation: https://t.co/dqytauPeXf","Barack Obama","Washington, DC",FALSE,2020-01-09
2020-01-02 23:49:54,"BarackObama","With David Stern’s passing, I’m reflecting on everything he did to take the NBA global, creating entire new generations of fans pretending to be like Mike or any of their favorite players on driveways and playgrounds around the world. https://t.co/8QMCazx2Fs","Barack Obama","Washington, DC",FALSE,2020-01-02
2020-01-01 17:16:44,"BarackObama","Here’s to a happy, healthy, and hopeful 2020. Happy New Year, everybody!","Barack Obama","Washington, DC",FALSE,2020-01-01
2019-12-30 17:02:44,"BarackObama","From hip-hop to country to The Boss, here are my songs of the year. If you’re looking for something to keep you company on a long drive or help you turn up a workout, I hope there’s a track or two in here that does the trick. https://t.co/mQ2VssyDwt","Barack Obama","Washington, DC",FALSE,2019-12-30
2019-12-30 00:33:16,"BarackObama","If there’s one thing I love about @RepJohnLewis, it’s his incomparable will to fight. I know he’s got a lot more of that left in him. Praying for you, my friend.","Barack Obama","Washington, DC",FALSE,2019-12-30
2019-12-29 17:03:13,"BarackObama","Next up are my favorite movies and TV shows of 2019. Of course, there’s also American Factory, a film from our own production company, Higher Ground, that was recently shortlisted for an Oscar. Here’s the full list: https://t.co/PEcgwotcxm","Barack Obama","Washington, DC",FALSE,2019-12-29
